Genera	AM-F10-T2-RITA	DA-AD-1-RITA	DA-AD-2-RITA	DA-AD-3-RITA	DA-AD-4-RITA	ES-AD-1-RITA	ES-AD-2-RITA	ES-AD-3-RITA	ES-AD-4-RITA	FR-AD-1-RITA	FR-AD-2-RITA	FR-AD-3-RITA	FR-AD-4-RITA	FR-AD-5-RITA	FR-AD-6-RITA	FR-AD-7-RITA	FR-AD-8-RITA	IT-AD-1-RITA	IT-AD-2-RITA	IT-AD-3-RITA	IT-AD-4-RITA	IT-AD-5-RITA	IT-AD-6-RITA	JP-AD-1-RITA	JP-AD-2-RITA	JP-AD-3-RITA	JP-AD-4-RITA	JP-AD-5-RITA	JP-AD-6-RITA	JP-AD-7-RITA	JP-AD-8-RITA	JP-AD-9-RITA
Stackebrandtia	2.30E-06	0	4.45E-06	4.33E-06	8.85E-06	0	0	0	8.71E-06	7.99E-06	1.76E-05	0	8.32E-06	7.71E-06	0	0	0	0	2.59E-05	8.57E-06	0	8.46E-06	8.62E-06	0	0	0	1.27E-05	0	1.26E-05	0	0	0
Staphylococcus	3.90E-05	4.21E-05	0.000204787	3.90E-05	0.000216908	4.02E-05	3.51E-05	5.07E-05	5.22E-05	7.99E-05	9.70E-05	6.91E-05	0.000116451	0.000115643	0.000109796	5.99E-05	3.55E-05	3.44E-05	3.46E-05	3.43E-05	5.13E-05	0.000101567	3.45E-05	0.000102608	0.000124722	3.77E-05	7.64E-05	0.000289039	1.26E-05	2.68E-05	3.76E-05	0.000123198
Stenotrophomonas	0	4.21E-06	4.45E-06	1.30E-05	1.33E-05	4.47E-06	2.19E-05	4.22E-06	0	0	0	1.73E-05	0	0	8.45E-06	8.55E-06	0	8.60E-06	8.65E-06	0	0	8.46E-06	0	2.57E-05	1.25E-05	1.26E-05	6.37E-05	0	0	6.71E-05	8.78E-05	0
Streptobacillus	2.30E-06	0	0	8.66E-06	2.21E-05	0	0	4.22E-06	0	0	0	0	4.16E-05	2.31E-05	8.45E-06	1.71E-05	0	0	1.73E-05	1.71E-05	0	2.54E-05	0	0	0	0	0	0	0	0	0	1.23E-05
Streptococcus	0.001265512	0.00032824	0.000872569	0.000355144	0.000792379	0.002078519	0.000959819	0.001152794	0.001850062	0.000503082	0.000625782	0.000949791	0.000939928	0.000639889	0.010827611	0.00106876	0.000959437	0.000765809	0.000449792	0.000582636	0.027558887	0.001447325	0.000792864	0.00082086	0.001284642	0.004059319	0.00104444	0.003016061	0.001554836	0.002990719	0.000539564	0.000505113
Streptomyces	6.20E-05	3.37E-05	8.46E-05	0.000134262	0.000106241	1.34E-05	2.19E-05	4.22E-05	0.00011318	5.59E-05	4.41E-05	3.45E-05	2.50E-05	0.000100224	6.76E-05	2.57E-05	4.44E-05	0.000137673	0.000172997	6.85E-05	4.28E-05	0.000101567	8.62E-05	1.28E-05	9.98E-05	0.000125676	3.82E-05	0.000125669	3.79E-05	0	6.27E-05	1.23E-05
Subdoligranulum	0.021575711	0.004898351	0.002867013	0.036770438	0.006578074	0.000353125	0.006214719	0.005113675	0.012275707	0.027589676	0.003737066	0.002659414	0.012718138	0.01154884	0.007668854	0.014552232	0.01024288	0.005954378	0.019392954	0.022945566	0.007631955	0.007016564	0.020700651	0.016827632	0.005687346	0.018989569	0.006941702	0.008105663	0.008519998	0.001059493	0.023113409	0.007478132
Symbiobacterium	9.19E-06	8.42E-06	1.34E-05	0.000112607	3.54E-05	4.47E-06	1.31E-05	0	8.71E-06	6.39E-05	1.76E-05	0	8.32E-06	2.31E-05	8.45E-06	8.55E-06	1.78E-05	8.60E-06	4.32E-05	8.57E-06	0	6.77E-05	1.72E-05	0	1.25E-05	1.26E-05	1.27E-05	1.26E-05	0	1.34E-05	2.51E-05	1.23E-05
Syntrophomonas	4.59E-05	7.15E-05	5.79E-05	4.33E-05	8.85E-05	1.79E-05	4.82E-05	2.53E-05	6.96E-05	1.60E-05	4.41E-05	6.04E-05	0.000191313	5.40E-05	7.60E-05	7.70E-05	8.88E-05	7.74E-05	4.32E-05	6.00E-05	0.00017112	5.08E-05	6.89E-05	2.57E-05	8.73E-05	1.26E-05	0.000101897	5.03E-05	2.53E-05	0	0	1.23E-05
Syntrophothermus	1.15E-05	4.21E-06	2.67E-05	3.03E-05	4.43E-06	0	1.31E-05	4.22E-06	0	3.19E-05	2.64E-05	1.73E-05	2.50E-05	3.08E-05	2.53E-05	1.71E-05	1.78E-05	8.60E-06	1.73E-05	8.57E-06	0	0	8.62E-06	1.28E-05	1.25E-05	1.26E-05	0	0	1.26E-05	0	1.25E-05	0
Syntrophus	2.30E-06	8.42E-06	8.90E-06	3.03E-05	3.10E-05	0	1.75E-05	1.27E-05	1.31E-05	0	8.81E-06	8.63E-06	0	0	5.07E-05	8.55E-06	1.78E-05	0	8.65E-06	8.57E-06	0	0	8.62E-06	0	0	0	0	1.26E-05	0	1.34E-05	0	0
Thauera	0	0	4.45E-06	1.73E-05	1.77E-05	0	0	8.45E-06	0	0	0	0	0	0	1.69E-05	8.55E-06	8.88E-06	0	1.73E-05	8.57E-06	0	0	0	0	0	1.26E-05	0	3.77E-05	0	0	0	0
Thermincola	6.89E-06	1.26E-05	1.78E-05	3.03E-05	1.33E-05	8.94E-06	8.77E-06	3.38E-05	2.18E-05	1.60E-05	0	1.73E-05	3.33E-05	1.54E-05	8.45E-06	8.55E-06	8.88E-06	1.72E-05	3.46E-05	3.43E-05	1.71E-05	4.23E-05	2.59E-05	0	1.25E-05	0	0	0.000113102	1.26E-05	0	1.25E-05	1.23E-05
Thermoanaerobacter	5.51E-05	9.26E-05	0.000271565	0.000346482	0.000172641	1.34E-05	8.33E-05	3.38E-05	9.14E-05	0.000119782	0.000105766	5.18E-05	0.000158041	0.000185028	6.76E-05	9.41E-05	0.000195441	0.000180696	0.000268145	0.000154227	1.71E-05	0.000363947	0.000120653	5.13E-05	0.000274389	8.80E-05	0.000127371	0.000150803	6.32E-05	4.02E-05	0.000150576	3.70E-05
Thermus	4.59E-06	1.26E-05	1.34E-05	1.73E-05	4.43E-06	4.47E-06	1.31E-05	0	4.35E-06	2.40E-05	0	8.63E-06	0	0	2.53E-05	0	0	8.60E-06	2.59E-05	8.57E-06	0	3.39E-05	8.62E-06	0	0	0	0	2.51E-05	2.53E-05	0	0	1.23E-05
Thioalkalivibrio	0	1.68E-05	1.78E-05	2.17E-05	1.33E-05	0	0	0	0	7.99E-06	8.81E-06	8.63E-06	8.32E-06	7.71E-06	1.69E-05	0	1.78E-05	0	0	5.14E-05	0	0	3.45E-05	0	0	2.51E-05	0	5.03E-05	0	0	1.25E-05	0
Thiobacillus	0	4.21E-06	0	4.33E-06	0	1.34E-05	0	0	0	0	0	0	8.32E-06	0	0	0	0	8.60E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomonas	0	0	4.45E-06	8.66E-06	4.43E-06	0	1.31E-05	4.22E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54E-05	0	0	1.25E-05	0	0	0	0	0	0	0
Tolumonas	0	4.21E-06	0	0	1.77E-05	8.94E-06	0	0	0	0	0	8.63E-06	0	2.31E-05	0	0	0	0	0	0	0	8.46E-06	8.62E-06	0	0	0	0	1.26E-05	0	0	0	0
Treponema	8.04E-05	0.000168328	0.000222594	0.000355144	0.000190348	6.70E-05	0.000135865	0.00010979	0.000208948	0.000199636	0.000246787	0.000103614	0.000166359	0.000192738	0.00014358	0.000153901	0.000177674	0.000249533	0.000250846	0.000128523	7.70E-05	0.000406267	0.000232688	0.000115433	0.000473945	0.000125676	5.09E-05	0.000213638	0.000113769	0.000120702	5.02E-05	6.16E-05
Turicibacter	5.28E-05	3.79E-05	0.000280469	6.93E-05	0.000230188	8.94E-06	5.26E-05	3.38E-05	7.40E-05	3.19E-05	0.000141021	0.000103614	0.000182995	0.000131062	6.76E-05	6.84E-05	2.67E-05	8.60E-06	4.32E-05	8.57E-05	4.28E-05	0.000160814	0.00018098	3.85E-05	8.73E-05	6.28E-05	0.000101897	8.80E-05	6.32E-05	2.68E-05	0.000138028	4.93E-05
Unclassified Clostridiales	0.000165366	8.42E-05	0.000120201	0.000203558	0.000119521	4.92E-05	0.000105186	7.18E-05	0.000152358	0.000159709	0.000185091	0.000138151	0.000224585	0.000177319	0.000185809	9.41E-05	0.000373114	0.000180696	0.000138398	0.000162795	1.71E-05	0.000262381	0.000120653	0.000102608	0.000349223	5.03E-05	0.000140108	0.000125669	3.79E-05	8.05E-05	6.27E-05	0.000160158
Unclassified Enterobacteriaceae	2.30E-06	0	4.45E-06	4.33E-06	4.43E-06	8.94E-06	4.38E-06	0	4.35E-06	0.001365509	0	8.63E-06	0	0	0.009341137	3.42E-05	8.88E-06	0	2.59E-05	1.71E-05	0	0	0	3.85E-05	2.49E-05	3.77E-05	0	0	0	0	0	0
Unclassified Lachnospiraceae	0.003778161	0.003370772	0.005092955	0.001944632	0.00323149	0.000952096	0.001485747	0.002609621	0.003247403	0.003569489	0.0030584	0.003047964	0.005872469	0.009274536	0.004366517	0.021452145	0.011193433	0.004319506	0.001340726	0.006691743	0.002780701	0.002962361	0.002335502	0.002783229	0.003068173	0.001772025	0.002381832	0.006735868	0.006219346	0.008918513	0.003500891	0.061636072
Unclassified Ruminococcaceae	0.00112541	0.003745303	0.004189223	0.011420924	0.007113704	0.002874167	0.002848778	0.005071448	0.006042086	0.005933178	0.005208976	0.002685317	0.003310542	0.004594865	0.003454363	0.002385472	0.003615657	0.007967853	0.004446021	0.002716111	0.000419244	0.00864163	0.003369673	0.002449754	0.004914066	0.004549453	0.004037651	0.008583206	0.002452344	0.001394775	0.00745351	0.003757546
Variovorax	2.30E-06	0	1.78E-05	8.66E-06	1.33E-05	8.94E-06	4.38E-06	4.22E-06	4.35E-06	0	8.81E-06	0	8.32E-06	0	1.69E-05	0	3.55E-05	1.72E-05	0	8.57E-06	8.56E-06	8.46E-06	0	1.28E-05	0	1.26E-05	3.82E-05	0	0	0	0	0
Veillonella	7.81E-05	0.000130454	0.000111297	0.000112607	0.000278882	4.92E-05	0.000109568	0.000350483	0.000121886	0.000143738	0.001251564	0.000345378	0.000407579	0.000185028	0.001131747	0.000222302	0.000177674	0.000137673	9.51E-05	0.000197068	0.003259837	0.000313164	0.001439221	0.000102608	0.00049889	0.000477567	0.000254741	0.000188504	0.000328665	0.006021673	0.000163124	0.000320315
Verminephrobacter	2.30E-06	8.42E-06	0	1.30E-05	0	4.47E-06	0	0	0	7.99E-06	0	8.63E-06	0	0	0	8.55E-06	8.88E-06	1.72E-05	0	0	8.56E-06	8.46E-06	0	1.28E-05	3.74E-05	0	0	0	0	1.34E-05	0	0
